[32cBZcCYWscNUI3vjL6G3H1SqGfY9hS3zUShp6LTzYZVvrzeEDIZFe] esta na tabela, timestamp 54
[QcaYXCjX9A5kWCbxphSy8BPtrE7YXgoocO9PyX6o5Dvhv4FfrTyfXxS2o4K7S8SwuiD6WgFBk7BYs0LXM8u3mOdtI9Bwd1tpLFYDIFw8H2NLxC3RyLritCGNRb5UwMmzKJJH1Wznwls5YLOOi84TZTlvMxaHIQCcNKDHr3v] esta na tabela, timestamp 52
[syI9DAJLSm0fh0SCVi] esta na tabela, timestamp 31
[mH5qrsl0upfBwbxycsXOqk31aLh] esta na tabela, timestamp 25
[kzHs7lHat1JaS5nIoJXQxdYwAwflkIjJ49aeVsszDkfM4mIi19jHDHC3OXkIbwWFWIpC1IONIUkKNWLDZm4wbDnFeBkpNTvplLJPy1kOVsri5NAeHsOMJs3vvN] esta na tabela, timestamp 29
[EqbX2IhGIkaCf3FrWJ3OCKO0t2r3Cu4GohjU0b5YephQfVULCuD9OEGdILsbwpYUMGYzvS30eeVgKcYgqqcIRpgt59NMSQVuFPprdT4keaClJK8kAVkZezwzkuf48nQ3mSrIFmwgm6lONc] esta na tabela, timestamp 28
[PxToeuw9RJgpZml45Bly0JnOrKl4eOiHzJkpuUVvcPlQbkdc0jUVAM5S63ztCXf5Zuv8Zq86GZC928iF3zRlSl8Wl4z7dFVs8GT4KGZMmNtVLcmcgXRy4kT4Q1MSsPiVw1mF7cwFFFiIzxt1kSjrx5nxKYM6QO2Xb7VhJpkbuEVOL9YFfGiYrtMZ4th5UrK7XM0FdquDWYkiTT85YiKHy7MYTu] esta na tabela, timestamp 12
[xoXUNkvc26F6KPEsCahrBxvlNHyJswSaI1zWOIy1GtGMsUq5LaEzjDV5lck0cseTeT4VOATMJvDYjs3cMOF4evPzRoE6o6jn5FwDPivsQpcUB9jrNhae38s9ie92dHLk6TkzEWI2uZvbcPw6MTTU3qSiKrdnmNv681mnzdj8XpbflzQhb0qmf38GlmL] esta na tabela, timestamp 60
[NJKQLBcyw68CJrfLDYLgFllzo1RnTuCJKDo7AsYlAQvKVnTHVS6lfbkXjjeUBbBZR6g94PgxQYc96Amrf4QWJQsE7gozyYzvJRoONxvXyq2pPPFlF0Pbsit6NG5poeE7xDleFrDHTC0M98kBch6PdVjYO2Zzs9Ur6EAM8vbSC12egl4qB22yJhq4Fc7erbWWPmO4klwhFdUvpqmvo] esta na tabela, timestamp 61
[Lnre1mHKblkuyHTDEsBlyLaFTrL7a8aSSSTbxzEMax7U3GKYcXKgmy6HAcMLHAzZMqQyoOQAZkrMTP8XKwyLnwgCdNdUD6pXNOUpB4PG] esta na tabela, timestamp 56
[sxs0hJQM1CAvNO3QFaUxxolsjFuQW4ApkOcXOgX2sncuZC9LEtpC1EV2zGFR39py7lCZWwupZvxx83DFDC2YRZMtpWSnCcSa5McktnhzQWdQXUWNHzzUWVQuQwO6HnaFnV2L9AAsoXQLXBUbFWO6oJtpY1PIF5LnLWPRpwQkQSCSGFDe9BXy3mjbqjI0fVhAnWqF9yfT] esta na tabela, timestamp 9
[8BKhLJWRIVohZhjY0s2Y5Ta4QPmp6FKqDMNGkyPqnnHM4iWv201koUEJphrD6QBmuGLzm1e08] esta na tabela, timestamp 63
[QC3DoeC9nFpO0MWQUbmamPg9AT6tUloU7QXUMNcDqU6xFVePGJ7JNkgbDBtZCOPGKAdsgZE862hde] esta na tabela, timestamp 41
[JkOBGAunqotmNvf3bZcI0M6xwvnbx7cLAtJTmLSb4fJJgRmY3jJ0RWV34ChKOvEkWNeOb2x4hHqI1ydkxsUZQCAb7gXGTrPZdp] esta na tabela, timestamp 59
[gX5H4mff11PCdqcMMdDXlhdgKAXwgwgxEfzPWPBK1fNf4ROGsGZntHPmdqiEUYPZfmQqy3y3gDe6f7gQo19X] esta na tabela, timestamp 38
[VxOiPzRE7oeCG3TMTVFc7TvHDR8CthIA1Fi4LDQuLyBjVfgiYh4mJVi3eoPSI4Db71khhYg86V805VpDVDhfXtZxR2zaTQEzh8ZPr1TlVwrlaRGB] esta na tabela, timestamp 55
[ua20t4v0f125GOySUKDP5aWL4gW9DrKXjg3T8wzzrZyqUUZexn9KjnPXVlKbWcF6gRtnDeSr7OQ0JTvZutikSeZwFWpwnEwe2TRLfM5dOFZuiHw9lMbylFYFxfo0Cy1lzhw0gU7NQq5cMg7a87XwJREMrV3m6Ppe6AhLMf2ZKPiw7RnDpsT4TpMyfVhbSr9FQmbR3v0WvKdyoxrtD6VIT46DbVFvTUixKsG6] esta na tabela, timestamp 8
[EgjdQm] esta na tabela, timestamp 14
[BKunGY2pvWBvVnrqrWJakdgBu5gTrxrPf3IpvhkO4l4pSeuaVzZuk87l3ZrLhdS402anqth9sWjYgWb4] esta na tabela, timestamp 1
[E6ZOJ6dRPUejxrZdaSHdxoOVPIF4nl04KksPeGOefnHuTsKCMZ38cdsSHyXlaZjo3PbeL98gtxyBLJgupaoPHIdr] esta na tabela, timestamp 15
[EdaAzMKFB1JCjCxZJxqItF9A1x6KFl0JjIkh70xXt0kC1iOfYXC12v3eHnfQfsLMCezA7EAYBtqg9gwlOvTuCbFgHNEraCKgC9SZYX46CfaN1K60CJ9seBIyjahKsl99] esta na tabela, timestamp 17
[uoOwimGNvinpiDd] esta na tabela, timestamp 65
[dutfQTHjWn8lYQgnSgwbBN2Vt2msz3p8GAO6nGx1MIViiwSjrULrHzQagFz2FW03TGXNFiu44YSe5krO6Xvhg2ve3nIv6WoBnIRnA8JC7hb79Sk8OHRQmodmYMWFts] esta na tabela, timestamp 24
[kH8pyJNvV6p6ONp7lgIoDrEL9N1kaPseHfWceMu4ube2fTdxth8v3P2vTlCtmK91jik8yXSnpmvnT1mpXirbf0lsOvL5hyMtYWDg8] esta na tabela, timestamp 62
[qOR79SilEL5grDjgeM98p1kuHG5TAk2j] esta na tabela, timestamp 21
[ynlhcLQ4RuWWIUwRIYrDWhK8hHnTh7cabWCnUIDTC11ljgNBYNxA7LnH0A0w17ze9EeHn3Fqu5PC1QkyHrg4xEcu1CiQX46FPfnqOpvC] esta na tabela, timestamp 37
[DCyEUSNq] esta na tabela, timestamp 2
[icvI7AGkM7MUA95EqUzWKJBOIUXAzDfxzdBpJk0KKiRWI1flvOacXuwFsujqyzXnF2JuGhil65Rg2Os16KekXwZbCF8IRQFnaQ3PwkVqaR0qs0jSAKw2IBdnIImx0oBiyyecK6mdjMWc7rKFVRgxGrLYfyHCGGlel] esta na tabela, timestamp 33
[7Pw5ppxmOjMDq3hcgc3bWmXlrlt9Layg38YbwH1LkxLbzoQ2ZxU2u6MoGfHyLq79LTMQg5wwOvMhGKs34bd8BOqukdVZVegSrKq20HHihyLCXPJ0mGiZZ3MBB4BbUXCGxHTDE4xq2WPDGUxZea8bmYMip70Js7OpbwvnX0BO6jjla9XCi5c822hEEC3kB7i8jmRTmRKEtnaagl4T5aLhjn] esta na tabela, timestamp 69
[iFtGC05QY0wsTe7d32GmSCBDgskGwALKwo2nvG53vH2nzxf3ooxPmEHcROM9oFb300RxlfE6kVbZw7XCPAs8IsbiwYqaYyT5hcUGAoVqKEPF9qv9FBllPlHGxFkOjP] esta na tabela, timestamp 44
[GYFl6CObzLy2rMZXPOhUghjps11loBH59xcqpvsyJRSToGmJT532zGYh7Ll66H51waCoKy1SO5Vh1KvbFGSyiG4eX6rdKbhvIvzcpz5hRnjNOFmiiElQs0FlMbtgNzTShXo4PK321gJpN6jZg5KhZTvsXvhvN] esta na tabela, timestamp 39
[Ks2nKyduqPoxPdLIX4J7myy6NE0SaMwuqpIdLMjDfMew8EFJ6dKV1jmYfbfAPeUesqGhVP7mQPIxKVrhYBLlmcYKck1FUUTvAiqk2rD5c3jvdG8WeZ84gJc8DJ2ZjEQcuQ9eVRP0JUgtMVU0] esta na tabela, timestamp 49
[NJon6J9MLttd9q7Q0MT7npem9bvdugjFGtdQZEVZ5C04yhkYocIUdrwcKDACZ5AtHI1BFO4xPR060cPat10EpjJvpCuGEXKaeUfOk0eThjQJu7oLWzKTKw6iDYGBDW9lrImkgInrCpIELFniuf7OvWTtJaYM0UhRRp7W03ctQoKF7Z3D6Q6uuniX5e6DoVLbIhqUlNSGa6DDBGDUahJtbimEZnYSi393yMRGCRcC3di6wIBFd517] esta na tabela, timestamp 46
[GS2EAjT5JjphaXg4NDhSc8Gvc2PVrwDJjgF3LBcFY9MS9mN300CA9pxV4VfD3s1KS9TGww9IVjXCJzHPqlXiO5V3VY2gUstwylQITNdvAXVoA0JG5UP2RNjHnhTlTaihRZh3RysIenmHFoIXGzyxypT9o3gnMvg4h1E3MxWODnlBPFeGEoWoCKq5T2w2U5OxafqJmd2qXmiLlB6zRTfQKR1NpUEyMz7MvU9PfBQOkG] esta na tabela, timestamp 35
[1WSWVnSoE43bO6ovciP1mR] esta na tabela, timestamp 32
[6qAAIc5QQeo7f7HxWEU] esta na tabela, timestamp 27
[HvJrfOU6GPG8D3DEGHN9ths1fkJdKsY7YieO4iryyfdNAoFHK8bYMhupGOjHghMo73Ju792DDMznx0RJ9CqKULsZPgQzhrotSUn1eB8mwGRTsVwByELYHwXaNzR8hYc2jo8NZUC1sA5ytfliZvtNvyphI7oeyhEkddfdrXoDi92Hy9ErqSPqqIvZPz1HvGEMl5A3EGoRe17ZJbNKKAhHpNxhDAtK] esta na tabela, timestamp 72
[iTyY4wNRg1jJuizbzLqLjDRm0u7hHI31KGaebCx7oCDwhdGrWOWfwFz4E25UKVP398C5f18bYar5iNCL0oBZ2JCyzI6xTE5H6b11nYtR9XNVigje27fCgNvkncDPirYqpR69TjrXsw2kGi12pWOlq8cC2TAAebZf15buFVcYdYxXhg9fQA9ML1PUSPXKXnuVYuCPRSHl9] esta na tabela, timestamp 66
[Tgo4kfDw2pMDYu89Jk6j31KjzCJ2008nnJcTY5Sp9iMLDAlqFbEc6LevGjcX76TGwTHNAC8MHxHIU0gQ6LxvPLYgGMm399p0pev0Zr41s3GT56JjPn2l41mfYDyirTlcUur8tXsJlRkZMMEFidw7RSXEC1zZVWP474jQHuY53XL0hv1xnFydrNOMRNdxor5Y9oY8QvqJl1PY74BfQSLPIZ5QafMucW3Y] esta na tabela, timestamp 11
[8oKu1VXDBRuzBMxj99UdOXuHLz2rNxzJo9slAVaYkLaWQuop8qvBJsJIjhtKhiRGNaCsFk6rb2etLN5VrJc2VIDEaCxzVStoBmL6q6UpN2NMChA3Gw5LGvyte67SuJQSyo5fgkItMXBSx8hwM2rlSvMasJw2VpQ2rmgf1RmHDOB] esta na tabela, timestamp 23
[APsMI1T3Mtc63ephGEfYUN83ICBIGoxd3li05WoQdJhIQtF9cehxpwOnuTKmHCMEeulWVx2fCME6dQauxcQotq9lsMNMOvRtTRAQn2v11LZgXxZjpZ65WHGuvM4amp44WKrB1sqSyicg9w4uj8VVsQEFhSipBrrQwFmRioYLSvXp] esta na tabela, timestamp 22
[5mBGeaLO4sSRWQISesYsjnPPKoY4mxBm5WIZH8N2rWiOg6pYNcUNb5KZotKc7FWoaNrjbu5dktxTl0zPIfAgpgo5YSRhRtY5eWNLA7ke8GKaIZuDN0Czt1MiE53RStmTXMM6VaIWEKACF33X1FvGYbjK6r1C3O4hkuX4dljHOQRUUc6guBkPvX0BW0S8ngfhlgAHqimDKcFKdoQ9] esta na tabela, timestamp 26
[rQw71ddbXmT2KFMs6c3V4Jmd9FyBVgN4qxUO3EaSPhvL0] esta na tabela, timestamp 40
[BVLOtxN1GRq] esta na tabela, timestamp 19
[LyyOeoXhXQgpyiedTEp6fjfryYDSWdgDACZKhod8PVlI6KRaxINMipkaFAfHJ59Ib0b7LtkyiNI9I7r5VxuMax3NIMc2Kk8FhhyggFlLJxnB9VY0PHdp7Gg07l3NJwhTx457rV6EPfgJVe7TjZDvcFv0WloprAFlnF9z4bhWrt4n1BT7XQndozaG4nfQo62IAK4p5KSm5h9os1wMO6MHUwhSeW1xUqdM28bkCinFMhKQaeEBX] esta na tabela, timestamp 18
[IBXcHypCF66CPl6Nm5YQ0dzXBpv89DHdkNCCjZa5QHodE5LbOpGjQG4jxujuqdAFAcOIrz7g4RKUTj0WDgf7LHh0fGVmOcDewv7VfFeqlP4qLphsNk55r8qO5FwjMFS43K0y5gdMUDwaknjaOsc63MpYAg8g0oU4Ebl5VvcmauUSJEr5hWo7ODtKmHARXG4Kqm2Us] esta na tabela, timestamp 4
[1SicPZKpJ3UlOnmdkwnKXCkuk0Zvh4Q41p0jAD0ckkd4ryXyemlCJ3p8XwVvEjZOAAP3SbXLa3di20NjlZAiRgdEgQGVGK9k42MMjlldJfwA7R8aHUhymzhfprHGKkUN82ZY] esta na tabela, timestamp 36
[oA1AMTWhx5Wv18zduSy9pw06oiw3WTvptQJFwq0ipXVQj8VkY9I8LcruZ4YMsRLXFHgWL2FOJg1wNJ4vXiQulIahdxxNJBPUGLtdb02oWbc6SCN1aeUA18Gc4J1TuFgyiYdhbVq8RhFmrNgIu1LZZU0lBGNBG5Vo2anLRWgqJyXQizEWGLZ4NMFu8K5] esta na tabela, timestamp 70
[atslz2TNZ84tAqQMdAT6sdTx3YWBdCL2Ap7jQjjxg6TXczfuUBZVJsFDVhCmUd8G2A7twVJCapHsszYHfaIlmDBRZTN] esta na tabela, timestamp 68
[AAz5Kq8ZZDpn29avmhuKfvRQilwhbnr24VDi38Yd3H8NHz6qx1uLH4H9Z7TnwFr7Sji9GYQaM7Fjl2f0T] esta na tabela, timestamp 64
[ZCfOUARw2p60c9Ppogbp8ESpJki3dHF2KrPopCu757HH3t3OuZ8dxwFl7a3xcPwLRC2Pe24ZjMv5E97Ah71fmZqrAg6NiUEbN059Rr8w4CNhHuo0I5rnyNY2zFETPj7Pob5qwqiwqTRE2WjqXiAQH2xlOcMdHmT9nT0cHiNsFCGM4pNt2Izvp5CNhC8Og0GkMTADgFfAQoypzHQ4rX5kQ3CaquK5uFFXAfEdO] esta na tabela, timestamp 0
[lalg3t8] esta na tabela, timestamp 16
[3emdXZv9WM5uVeHCmKmF91seXUKdn89xqOJC5yXjWtLwy] esta na tabela, timestamp 13
[OSzLeFXia7byJUN0GMQ4i7eazZer7GVJqpZMWvPJTbnezUXSko5MEb] esta na tabela, timestamp 6
[ViM776D8JUzaac9es7AdlgLADJhoVZKkPKyEp8RGHgxT7lMUpGhuTuAWiEAm2JyCEyrNX8oXNlBM78HfGffmQ0hUnNe6HJu3PFkh7uACsCqvUb5ek0Iq3Kvik3HLo7k0] esta na tabela, timestamp 5
[1jZSFsTMIO8dr20t3gBmvRIsinabhuH706pPrdm7EmwlknMm] esta na tabela, timestamp 67
[F5Axmi0aN7cirpHH6ChcU8awNAnoV7XvUayMhELPw61HcrQxgyqcy3ldPwqvr0cEVzPpmlHvgj9i5Fwiu1wO7RaivqHxyQILC3sqhPjv1LCTJnAGVsKEio5TIRybvpbMmJB3xhPLHT2l7xtY8nsCbqIc4y9f7YWvmWflDP0kjfyQiW0sxlzSUfsufmroZ39ZAzbV1hYwN8EuMEu9W1eCbid8y2mi1ql9DYLJT4Dl4yaYrcug21] esta na tabela, timestamp 48
[CTgan3OTrM6FQOMANkRNKcfEjIOF03JRrvC6810IpHuJf3JAzx6FhlgehZUE9gjNsS24S0ECzRbp3mpZD7NiEsQgnwxqf1YnUOnpxxemGL0AUZzIIVFvyk7mKVCR8GfCbMg25qoGbHa0UIBA8QuhG3Pvpo0KG] esta na tabela, timestamp 51
[V275rHnrZlFK9ldY45Wd1d6MtuNVFMCdwrUrQsKbXTOMiO0wJfXYWq0FMTToWw0] esta na tabela, timestamp 58
[AVycPF3xjci9Y3ERBBkdykQqHZmVZeGpeocQgG5cNKr7ZKnPJ92PUmmx0mdZ4fNHlPBPKLV4iudUxjrdabpLybl0U012ZS0] esta na tabela, timestamp 71
[32CBZCCYWSCNUI3VJL6G3H1SQGFY9HS3ZUSHP6LTZYZVVRZEEDIZFE] nao esta na tabela
[enhKzyxrhkNNLjXBpTrhfma4ZmCrXelkNJ6z01Tbb30qHxhvbdVE1Eda35SXQ7gLdMdq0adrizMCH9zkchfl62VwHjxgD83IADaGiVU2tuqCQLPVxUbvts0amxtrykye04JMYs4WXUilC0zZ9IdsgOXGe6wFbeWmUUmBfEyBpLS7dZZPJyrJBtmFLsmTPETwY9MVJuFXOA4RrbT8SNcvaaUca3jtSdhOjQEmMUv0] esta na tabela, timestamp 22
[cX2fOxggDnYc0ttmozs4Qy1p3DZauQdySRm2Vt3zDPxo0Mk2WwOYAeV5PQgdrdJeHALUJm8XcK63UtqvjloV8pUKkLK9FFACis5KTGfaNRKMBJ5uXy5LmDm1aXRbPTpbBBrprqN6CdEUPYQNZkfuvFbB0YLQhUbMHUpUAfQaWBFJlbj59HBE2P7dEUe57iIZMmd5atLvG8sspwosXU0UDmseuA3c7] esta na tabela, timestamp 57
[MnclQNgceuGfBnCWbvN3b2r7ByKooWa6kcWhZC6gmsi5mlr6dtk7QQbeLl1RhxrS0vNBqbH9mxVTZldMa2kJrG219PkCVuGEHHQ86L0gVnANvNh49dtRgxQ20HGLtlOtdijldPFIuyK7q6pGadsCArB86LhieACeSk8BSqHCjj82QLVe4CTiQoOAanr3Kxc5FFEPl1y55XaY8j2UdUAXGgX6ijAuw8JMRMgjuickwh] esta na tabela, timestamp 45
[kEKVi4gBIk2I812C4DhLFunof42bSfDcBcqFNR4LnNKdGM63g8nCXq0uptiJH7J5g64J72FDWBJwe1cK9bx4qm2nUmpmx4VLhHPrpZSl9zm7MhqTYdECb0z5naPk9hqNLHBxsW1toLnq] esta na tabela, timestamp 55
[ROOl1swFnx56TirLR5zP3rpCGY2magnBda25jZpPEcckm1CoZFAUCYFLrqdWDTkBoXX7aWLpM] esta na tabela, timestamp 10
[QXDsr9wZrV5G6bZY314ZggupyR5NNKFJOCAHerHwaXMGKN2abHHwXCYZlaVVT5KszuOwVaD8HL6yEcxnQYvM4VRya0] esta na tabela, timestamp 33
[iKwzqYhiyRMCcbusjk66LYT1YqIbpV18xT5mhtGnHqreCRurqDJ2WpU1YRDBjz3ftwm9wBNrGDX573NR1oxyPypEiFphFfq4phLhK3lLQJZmP0ZThlnMgSWPwUmN8GRQIn4bzo4QKIx32Ye5D7e] esta na tabela, timestamp 63
[u8SMj2xcKdfDm0OgjPNL8yRzrLfpno0wP8F2jisFyY8G98u1Rmsru1ZGTEYN8St1N1McZPZQ7T9WWL3eOhoFN7fO5lsOM7VafcBkbm4jIWkNsnlzxaChv93S8A1gsG4DatA1sZwiin] esta na tabela, timestamp 26
[3bPknWS5WzOynKxA9DxGA437vmYdtHUsX] esta na tabela, timestamp 38
[kpNEe7hoecZ4xuHi7fPygYdadZ8lkU512q2rMvMVbqGkGzGl8GXMiY3r4URJ1mPrD20QHL5FWyhK7HuJwrHZtECgfSP5QMpF7SBwyD1rkn5nFpYiB0cYG5RFOu8loHQsYj6hUkxjOQIQLwMC6tcV1H5hLwiyOUouna3NNL0QpYiJYEDbsLkNnUpxjXC0rJ0gloqffqUVOcu6dtVb9Dh] esta na tabela, timestamp 15
[cjE79FGVASldpQLHGPqgwN11NDbmswUNBhDu0OllUambHlox6AQ9WI7ZZKcbQg5BMJKVY1qpRzI8VfhxYP1qrjCmbmBTClGgUJrOg9ZBaMzbubO5swqXlN3IwzFWWw9lEylx8jvdFE] esta na tabela, timestamp 40
[74ZSLiVpC6XkCoet3IlPIC5gX3bbYXoOt3vMAs39fFdUNJnsR8EalkLt4YCderYzwTa6DZaXMBFntzwQZlUGXZwVspgwlrqCqHsIV65uRaasjwISenzEiU] esta na tabela, timestamp 24
[FNGhiry4f8gZOJg95daNFkJ5STDOYeBWQ5owTeTp73cz4y4Gv7KHeeTFbAwZZhXvHkkRfIoakbmMMfiKn8TSUHnRis7tqZJVmDcuo9IT0gr3YNT4TRsxau3AdLfhwLprFT61XLI8koBFwldWciRwtIDchgPZ8TiNSraqhaXqBzD29H5YFe4T6l99nXIDN5KWFN3bdKP9FiO3LDubLNdRbeFlIExLr2p6] esta na tabela, timestamp 34
[cl8GMdASzxH15esH8RY0LopZ00y9zLAIO0TJvAtkGcTR6vD2GnxfXwzOAyUVJowenpixzaDoQSxZkDmbRrgCgFxw8D2G8qOvTj9X4HAEjesKe0MwSuQ6YljKtnPSV8C7afCIVbVNwUwdiYuVCcLUNqMIl9LEDoNtIakaKdnk83gvXvvKCsDtGouhY3UZkiUj2D6wXcmVnfGyGYdnzpUOnVgxydCwLZ1TjrCiExIAuISE1TnRy] esta na tabela, timestamp 46
[dDlBym2yvcol] esta na tabela, timestamp 44
[1OscUTQbURux2JFSVh2srr6zOStFGQg2l2Gze6z0QfcbECANq5dgrN545gNn4Zu4m9rii57w5IXhTxJWwR5jD4QQpHROmJ3YK556De0ZBsAk6WbbfXVXr8izQWlayjMR6kgMslvioHf3NBgxoqQSTU5] esta na tabela, timestamp 3
[8WxMC1DTqztuZ93iq7QY9k2MujK3U1Fs3Deuku38yUk4eRfOBby3BusYqHmWqyjGG9JeoG7YJCymk] esta na tabela, timestamp 52
[N8IAFQoBz5HmxyK3xUNMS4UCUiAC1zN1STYr3i1RrzGMxU2YBu6rB0y2JsEqmv] esta na tabela, timestamp 56
[QAP5qOhWnPHyej1uYaY19EfHQeqIBBk1gKnuYmQWERGqe2gltxdH8K96fzSiDH5i7RLoC4Wv6UjZGBsIuwcd9OW2VyBdB] esta na tabela, timestamp 11
[QeRerfkVzaZQFBhNrcJMtz078b8mmHixl4CjJxBNyJvevOM4dWl1lUTJ8fPVQ3BtKQtTITM9mesztd5utpZWvTSPCJLIOePhP7VVXapdvDGEQ47INfzTYkCr5UTA1LuAuNHMP9MZkeDbVda5MvtQsXVHKujoYBjvj7uDPRrO83jihbddVDc] esta na tabela, timestamp 64
[pwRhv6qEKLNKdpMpsAmccAhtJW9sWmvsu0sNypY1FzUiVrwyVFwr87purbWYbuAy8PpDZl8AsykzAupLd9NiUhjuhnBMTsBZlbV0G6367JPH1s6RwsYAxzRnWjhCXDJy1QWgZlTbTr] esta na tabela, timestamp 67
[4EvRiexbHexoM9FLS] esta na tabela, timestamp 5
[ajT] esta na tabela, timestamp 62
[Z3QQrfiA5NmHS2j2um2oCbgLlG] esta na tabela, timestamp 37
[CTuzTDk3LSOjrtN8zJiycWqZLZfkPS5FBoEdrnBv1ERtyCGYLUsAotDaZQnGcejCLoNWKrZvpLlYhRt6rTmCJ1ox1AVYqbLcGfzP46ARAYM5oW9LhtkROTOvjEdzoWDW547kuJIKsLXifXhruXgAGHGuX0pQ6G9neue7mYnNzigxsNZzC22M6FrHhDA9jTNoXAKl2KiwEP0u6AkG4yziPtI7QVbXVd38k3R1] esta na tabela, timestamp 35
[jU7drUlc2C575vE4docLPS1n5kKopaaTdOc3X3QQkOk7JM0t48D8dMJdtXTjAb8f2s1hj33KFXZV9zoHtN0dsmYILTN1XEcesE0DLx2nzokWOmfmw7JqccMvCOneXSvfoMh2vlm] esta na tabela, timestamp 29
[3IgprS1W7NQMvEbc3nBA45ek8GIVTukIfgbXVNgOIHZa5y4a7TJzrrdbgNudSavumUfYluHJdWujGNEIrYtE6AMZkSh0ZuQuXNclhzgib6XzqLHmdJNlfdfc0uWWx6LZFrAid1sTKtDbNXiUR4TCHGfDgWACu2hDeZR9Vu] esta na tabela, timestamp 2
[qF4t8W0XoxrbB0ASpOcMiVxAlquSndykrjvq5GNgcPW9M5OSe6PJkXrxxkSzaKWTp3RYjC2aoBYJn5bhd6BPQ8b0pI4OkvVKTL47ptel0nqLSSuQAWwqZMSmpholzXxtLpksBpReyXXDCe7nuuQYobuZC4kmEzr212UdXgcUhHhyNYMQzlf] esta na tabela, timestamp 70
[nnWjqYKG1oTVsIPyYraN5XtFKiqCWYcUwXNiqptLhXDKG2TJZnG] esta na tabela, timestamp 16
[PFSyolXlao5BbOwRgrzrxvbw6D8CetWToYoVdcRNceyTHBxNQaueFJjqzL5qmeIM42JYFrJDpM1iNaIb2mxYXEMl7F5krEPXbuClqljHdBunk8EmEOOCL] esta na tabela, timestamp 71
[C62ZYIapemwAF6Dotd65oKSbbUZ5R04CmWQlgrtKF2Ci07u7NMmMzW7raEPUM9kZZbHbxq6ZzeBuOlNACL0MFXZLLxwckEZEXzVqaITYSwagxA92vC6zeSaPrYyg9pxapguTBWAPTRrts] esta na tabela, timestamp 18
